cro,avg_count,a,b,fit
110,11519.598309137175,0.22995506306518354,0.05253848927800056,yes
111,11616.926527297714,0.2206862364250707,0.05652967414473133,yes
112,11720.888216991667,0.22244577719994443,0.05692730120029914,yes
113,11819.56783862914,0.2130957766121399,0.05887469059788865,yes
114,11917.257615013232,0.22172713478096226,0.05565426644121037,yes
115,12016.102139394821,0.2154687945058099,0.058904987966530646,yes
116,12119.324383895944,0.22118354130532383,0.05854533601780041,yes
117,12221.933506214667,0.22941132091574196,0.056938591756907964,yes
118,12319.742458419023,0.227174640476209,0.05822780844966818,yes
119,12420.57378367055,0.2306825598879772,0.05771035984744497,yes
120,12519.02378367055,0.22819078562624387,0.05707962282125108,yes
121,12617.996167081916,0.22431421427554218,0.05889949745010735,yes
122,12719.788012186258,0.2301497992657909,0.05894729049113698,yes
123,12820.282371473568,0.23212645634561596,0.05621239292935222,yes
124,12922.953246033132,0.2335525902459967,0.05917415518472095,yes
125,13019.918389703113,0.23619864505532856,0.05852293482888702,yes
126,13118.700086432755,0.24516697011081912,0.056706388029386184,yes
127,13223.604265238617,0.24991964497126892,0.057338142092937645,yes
128,13322.26445054772,0.2519606522743302,0.058732120546180946,yes
129,13423.030203485027,0.26053433182130686,0.05563415888269279,yes
130,13526.154030713145,0.25798270568711035,0.05734425569225559,yes
131,13623.20580643991,0.2599982457667165,0.058031679712725506,yes
132,13726.584452272873,0.25475087385094736,0.06097266828725551,yes
133,13824.55381371341,0.26823922300788855,0.05732112310348074,yes
134,13926.76795890023,0.26383880093637146,0.05969223069079438,yes
135,14026.90180831912,0.27425570342538796,0.05810061560067251,yes
136,14125.775421640727,0.2757908330469727,0.05875633878930302,yes
137,14229.147041330718,0.288697574357849,0.055732519643052265,yes
138,14328.935909899788,0.2855336065672648,0.059289858984901654,yes
139,14430.166685154774,0.2810046776629797,0.05958778351191714,yes
140,14528.61265579702,0.2869936959735149,0.05699873263514542,yes
141,14632.35994488872,0.28953463220432074,0.05870132387649709,yes
142,14731.36842762252,0.2879406248482434,0.05953387937082257,yes
143,14831.773707734108,0.3024185768936559,0.056073549013208566,yes
144,14933.267986165247,0.30203278457632493,0.05733514321918744,yes
145,15032.876463695022,0.3101295787520642,0.05700014805836315,yes
146,15136.292276655045,0.3064046797721461,0.05699726139210913,yes
147,15232.295612453483,0.308271786641782,0.057848531770847374,yes
148,15335.694993727508,0.31743093361081676,0.05648583588194117,yes
149,15436.599234350531,0.31335761516023575,0.05735453206433958,yes
150,15533.307140813125,0.32360339108574915,0.05792515886559463,yes
151,15636.002291089015,0.3257923169955635,0.056672609151992945,yes
152,15738.825695816447,0.3333179596390184,0.05708528423531401,yes
153,15836.279940486844,0.3326469017604694,0.057442225874563456,yes
154,15936.113302838807,0.3416686830884225,0.055903415115276446,yes
155,16036.618344477934,0.33518396915184384,0.05822521830699404,yes
156,16139.401003962119,0.3426004211296275,0.05731443660659526,yes
157,16236.935484013396,0.3469573804492365,0.05804328854640737,yes
158,16341.144686646496,0.35670605982022524,0.056562782971734844,yes
159,16442.844729733213,0.3705037805195236,0.056295586420023754,yes
160,16541.084032724953,0.3731273483178305,0.05570140477198435,yes
161,16643.239527977472,0.37174424383803284,0.05770424756890174,yes
162,16744.58171867174,0.3714342232524625,0.057104956899300514,yes
163,16844.519585313516,0.38678471701317707,0.05624567889299936,yes
164,16942.751173645185,0.3868384834780159,0.057353533993721416,yes
165,17047.524494910544,0.39929961011812776,0.05627101880539362,yes
166,17148.095013483457,0.4048715701617542,0.056404778935901345,yes
167,17248.268232814065,0.413543222998508,0.0567229987892703,yes
168,17350.640063156272,0.42689074039520064,0.055960831543722694,yes
169,17449.648140797897,0.42019356891521886,0.058196169486656575,yes
170,17550.431075966597,0.4383264498555654,0.056065856797495636,yes
171,17653.329475580344,0.4366184804311435,0.05764954967697444,yes
172,17756.546898836757,0.4434474490938647,0.05788877192459164,yes
173,17853.513023335458,0.4506910167628273,0.05752698218670677,yes
174,17956.51841567343,0.4461905746519209,0.05853794981885063,yes
175,18055.602092986628,0.46738334891689376,0.056862563847273784,yes
176,18156.64526464704,0.4556017571683779,0.05944648591445017,yes
177,18258.39748450294,0.4578759772031787,0.05922333268063729,yes
178,18354.11651926815,0.46473281047723675,0.05992346854938497,yes
179,18460.317394920334,0.4716380485871909,0.05917256235613235,yes
